model,dataset,pretraining length,ImageNet accuracy,freeze encoder,pretraining scheme,seed,accuracy,balanced accuracy,sensitivity,specificity,precision,dice index,jaccard index,mcc,modified hausdorff distance,area under roc,average precision score,mean dice index,mean jaccard index
ResNet50 Attention U-Net,ACDC,300,0.748,True,advanced,123128,0.9944881192922104,,,,,,,,3.9023991878618816,0.997813224532928,0.9628677355728608,0.901728209653744,0.8225474389506049
ResNet50 Attention U-Net,ACDC,0,0.001,False,simple,123124,0.9940928192983746,,,,,,,,3.7464401738970095,0.9984168658500506,0.9577895960453984,0.8966424501706559,0.8145779856310794
ResNet50 Attention U-Net,ACDC,0,0.001,False,simple,123125,0.9944382205862132,,,,,,,,3.711590066855063,0.997900814880162,0.9613244816896672,0.90078101707345,0.82136301952259
ResNet50 Attention U-Net,ACDC,0,0.001,False,simple,123126,0.9944750241232644,,,,,,,,3.57698329420125,0.9984925212946894,0.9626891485090396,0.9018449780336588,0.8230998073162626
ResNet50 Attention U-Net,ACDC,0,0.001,False,simple,123127,0.9942304945328504,,,,,,,,3.75170211384037,0.9983725387203364,0.9598348738446336,0.8979987531266538,0.816966410413101
ResNet50 Attention U-Net,ACDC,0,0.001,False,simple,123128,0.9943159372688434,,,,,,,,3.579319355197734,0.99867604753792,0.9609115847124936,0.899851219746948,0.8199104366703561
ResNet50 Attention U-Net,ACDC,0,0.001,True,simple,123124,0.9909748354935608,,,,,,,,5.744117059324399,0.9969887968243716,0.9188232142532714,0.8470517717923736,0.7375067010974506
ResNet50 Attention U-Net,ACDC,0,0.001,True,simple,123125,0.9912389985763124,,,,,,,,5.626199340824495,0.9975345539470726,0.9225175266898828,0.8520269342394706,0.7447281478249405
ResNet50 Attention U-Net,ACDC,0,0.001,True,simple,123126,0.9911819132712332,,,,,,,,5.544429959708278,0.9973278971260512,0.9228543233011192,0.8510211507708814,0.7435678387624352
ResNet50 Attention U-Net,ACDC,0,0.001,True,simple,123127,0.9906812962609532,,,,,,,,5.914077424559515,0.9969098768351938,0.9171264891305804,0.8443253651101492,0.7331914645817733
ResNet50 Attention U-Net,ACDC,0,0.001,True,simple,123128,0.991195897503983,,,,,,,,5.809326101098475,0.9968392279833632,0.9194970033217746,0.8494319915456177,0.7412030902910133
ResNet50 Attention U-Net,ACDC,1,0.014,False,simple,123124,0.9942436823126092,,,,,,,,3.624561671469332,0.9979247376616568,0.9591530839932968,0.8984588602763481,0.8176015155874173
ResNet50 Attention U-Net,ACDC,1,0.014,False,simple,123125,0.9943956566565983,,,,,,,,3.987972435950784,0.998524046533895,0.9611038293606354,0.9013557975378091,0.8223854944636632
ResNet50 Attention U-Net,ACDC,1,0.014,False,simple,123126,0.9944784692455048,,,,,,,,3.8013194486735737,0.99833002242812,0.9607079653754046,0.9019001020736734,0.8231122247921122
ResNet50 Attention U-Net,ACDC,1,0.014,False,simple,123127,0.994035345027881,,,,,,,,3.778003988782295,0.9972746385733,0.9562935793863272,0.8956771552339126,0.8132687462739332
ResNet50 Attention U-Net,ACDC,1,0.014,False,simple,123128,0.9942738363932934,,,,,,,,3.667102140217231,0.9979137374740552,0.9591031639529368,0.8988650341267267,0.8184204955881382
ResNet50 Attention U-Net,ACDC,1,0.014,True,simple,123124,0.9907406783141928,,,,,,,,5.990777534197,0.9951877119770066,0.9117375720758796,0.8416652879039338,0.7293958533581444
ResNet50 Attention U-Net,ACDC,1,0.014,True,simple,123125,0.9912654111801552,,,,,,,,5.6279561242926,0.9971406172096148,0.920912577146538,0.8508642522811486,0.7428101716745311
ResNet50 Attention U-Net,ACDC,1,0.014,True,simple,123126,0.9910784855153724,,,,,,,,5.540302253120392,0.9972429671826076,0.9193631938106824,0.8481456185489565,0.7390285463476644
ResNet50 Attention U-Net,ACDC,1,0.014,True,simple,123127,0.990765516534216,,,,,,,,5.71092274950608,0.9933199082082286,0.9102598488431388,0.8414259052980967,0.7289328584239204
ResNet50 Attention U-Net,ACDC,1,0.014,True,simple,123128,0.9911171412686822,,,,,,,,5.603402428167029,0.9970406736679072,0.9216942165098404,0.8487829577346409,0.7398195120757705
ResNet50 Attention U-Net,ACDC,5,0.101,False,simple,123124,0.994570079861638,,,,,,,,3.487147584863341,0.9981052897107016,0.9620530024691282,0.9034997894643376,0.8258483698751086
ResNet50 Attention U-Net,ACDC,5,0.101,False,simple,123125,0.9945682832118674,,,,,,,,3.5312424141595167,0.9980188286269304,0.9617519412706592,0.9035370211573942,0.8259923088088853
ResNet50 Attention U-Net,ACDC,5,0.101,False,simple,123126,0.9944714493458862,,,,,,,,3.716453693063465,0.9980909658941638,0.9615091875939936,0.9015849208959624,0.8226329295293388
ResNet50 Attention U-Net,ACDC,5,0.101,False,simple,123127,0.994243015514756,,,,,,,,3.835606308863315,0.9979349890193888,0.958449738818857,0.8995637005921626,0.8195380416489444
ResNet50 Attention U-Net,ACDC,5,0.101,False,simple,123128,0.9946471505801436,,,,,,,,3.493440061118671,0.9984223845000226,0.9630696652036986,0.9040141527374318,0.8266106698693649
ResNet50 Attention U-Net,ACDC,5,0.101,True,simple,123124,0.992842239925129,,,,,,,,4.640874565950808,0.9977702535970612,0.94510232129063,0.876826215781714,0.7828918411397433
ResNet50 Attention U-Net,ACDC,5,0.101,True,simple,123125,0.9928581504627874,,,,,,,,4.600407929234682,0.997716073745293,0.9442987389777208,0.8783833284000773,0.7852540791665582
ResNet50 Attention U-Net,ACDC,5,0.101,True,simple,123126,0.9926169363394752,,,,,,,,4.968665750221096,0.9974666348013752,0.9429922131569468,0.8747226977838359,0.7795458983445313
ResNet50 Attention U-Net,ACDC,5,0.101,True,simple,123127,0.9928579281968364,,,,,,,,4.4602684694580725,0.9976251225444088,0.9434196990554514,0.8766177236837401,0.7827520605904553
ResNet50 Attention U-Net,ACDC,5,0.101,True,simple,123128,0.9930225161335444,,,,,,,,4.499402881828023,0.9980682310512352,0.9471665932339004,0.8795623952451926,0.7872446881088963
ResNet50 Attention U-Net,ACDC,20,0.3,False,simple,123124,0.9946571525479384,,,,,,,,3.5012650122542817,0.998120859799104,0.9640038496053812,0.9039879982673938,0.8265530120760071
ResNet50 Attention U-Net,ACDC,20,0.3,False,simple,123125,0.9946789346111352,,,,,,,,3.313903125017689,0.9988404382271202,0.9640043284280512,0.9045869116575612,0.8275549887434855
