dataset,metric,margin,encoder,pretraining_scheme,pooled,level,pretraining_length,robustness
ACDC,l2_loss,0.75,resnet50,advanced_training,True,1,1,0.7607787251472473
ACDC,l2_loss,0.75,resnet50,advanced_training,False,2,1,0.6836503744125366
ACDC,l2_loss,0.75,resnet50,advanced_training,True,2,1,0.8047986626625061
ACDC,l2_loss,0.75,resnet50,advanced_training,False,3,1,1.1809306144714355
ACDC,l2_loss,0.75,resnet50,advanced_training,True,3,1,0.9380437135696411
ACDC,l2_loss,0.75,resnet50,advanced_training,False,4,1,2.089651107788086
ACDC,l2_loss,0.75,resnet50,advanced_training,True,4,1,1.1454565525054932
ACDC,l2_loss,0.75,resnet50,advanced_training,False,5,1,1.595393419265747
ACDC,l2_loss,0.75,resnet50,advanced_training,True,5,1,1.0141090154647827
ACDC,l2_loss,1.0,resnet50,advanced_training,False,1,1,0.9274218678474426
ACDC,l2_loss,1.0,resnet50,advanced_training,True,1,1,1.003955364227295
ACDC,l2_loss,1.0,resnet50,advanced_training,False,2,1,0.8609994053840637
ACDC,l2_loss,1.0,resnet50,advanced_training,True,2,1,1.0383566617965698
ACDC,l2_loss,1.0,resnet50,advanced_training,False,3,1,1.3308173418045044
ACDC,l2_loss,1.0,resnet50,advanced_training,True,3,1,1.164163589477539
ACDC,l2_loss,1.0,resnet50,advanced_training,False,4,1,2.2419633865356445
ACDC,l2_loss,1.0,resnet50,advanced_training,True,4,1,1.3705211877822876
ACDC,l2_loss,1.0,resnet50,advanced_training,False,5,1,1.7769521474838257
ACDC,l2_loss,1.0,resnet50,advanced_training,True,5,1,1.241247534751892
ACDC,cosine_distance,0.0,resnet50,advanced_training,False,1,5,0.026319187134504318
ACDC,cosine_distance,0.0,resnet50,advanced_training,True,1,5,0.02699284255504608
ACDC,cosine_distance,0.0,resnet50,advanced_training,False,2,5,0.026409374549984932
ACDC,cosine_distance,0.0,resnet50,advanced_training,True,2,5,0.023130692541599274
ACDC,cosine_distance,0.0,resnet50,advanced_training,False,3,5,0.027345769107341766
ACDC,cosine_distance,0.0,resnet50,advanced_training,True,3,5,0.02328483760356903
ACDC,cosine_distance,0.0,resnet50,advanced_training,False,4,5,0.011720327660441399
ACDC,cosine_distance,0.0,resnet50,advanced_training,True,4,5,0.011987535282969475
ACDC,cosine_distance,0.0,resnet50,advanced_training,False,5,5,0.030968772247433662
ACDC,cosine_distance,0.0,resnet50,advanced_training,True,5,5,0.02715492621064186
ACDC,cosine_distance,0.25,resnet50,advanced_training,False,1,5,0.2127266675233841
ACDC,cosine_distance,0.25,resnet50,advanced_training,True,1,5,0.26022231578826904
ACDC,cosine_distance,0.25,resnet50,advanced_training,False,2,5,0.18932628631591797
ACDC,cosine_distance,0.25,resnet50,advanced_training,True,2,5,0.2498694509267807
ACDC,cosine_distance,0.25,resnet50,advanced_training,False,3,5,0.2018161565065384
ACDC,cosine_distance,0.25,resnet50,advanced_training,True,3,5,0.25169724225997925
ACDC,cosine_distance,0.25,resnet50,advanced_training,False,4,5,0.23788845539093018
ACDC,cosine_distance,0.25,resnet50,advanced_training,True,4,5,0.2489359825849533
ACDC,cosine_distance,0.25,resnet50,advanced_training,False,5,5,0.23343011736869812
